Gonzaga 1,West,96.5,1,,,,,
Duke 2,West,89.3,2,,,,,
Texas Tech 3,West,88.7,3,,,,,
Arkansas 4,West,86.8,4,,,,,
UConn 5,West,86.4,5,,,,,
Alabama 6,West,85.2,6,,,,,
Michigan St. 7,West,83.5,7,,,,,
Boise State 8,West,82.5,8,,,,,
Memphis 9,West,84.9,9,,,,,
Davidson 10,West,81.8,10,,,,,
Notre Dame 11,West,81.6,11,,,,,
NM State 12,West,77.7,12,,,,,
Vermont 13,West,80.3,13,,,,,
Montana St. 14,West,74.3,14,,,,,
CSU-Full. 15,West,71.8,15,,,,,
Georgia St. 16,West,73.5,16,,,,,
Baylor 1,East,87.7,1,,,,,
Kentucky 2,East,91.2,2,,,,,
Purdue 3,East,89.1,3,,,,,
UCLA 4,East,89.8,4,,,,,
St. Mary's 5,East,84.3,5,,,,,
Texas 6,East,86.3,6,,,,,
Murray St. 7,East,81.3,7,,,,,
UNC 8,East,84,8,,,,,
Marquette 9,East,81.9,9,,,,,
San Fran. 10,East,81.8,10,,,,,
Virginia Tech 11,East,84.7,11,,,,,
Indiana 12,East,83,12,,,,,
Akron 13,East,76.7,13,,,,,
Yale 14,East,74.7,14,,,,,
Saint Peter's 15,East,74.2,15,,,,,
Norfolk St. 16,East,71.4,16,,,,,
Arizona 1,South,90.9,1,,,,,
Villanova 2,South,90.2,2,,,,,
Tennessee 3,South,88.9,3,,,,,
Illinois 4,South,86.8,4,,,,,
Houston 5,South,88.7,5,,,,,
Colorado St. 6,South,81.7,6,,,,,
Ohio State 7,South,84.2,7,,,,,
Seton Hall 8,South,82.6,8,,,,,
TCU 9,South,81.9,9,,,,,
Loyola (IL) 10,South,83.7,10,,,,,
Michigan 11,South,84.7,11,,,,,
UAB 12,South,81.2,12,,,,,
Chatt. 13,South,78.7,13,,,,,
Longwood 14,South,73.4,14,,,,,
Delaware 15,South,73.6,15,,,,,
Wright State 16,South,73.5,16,,,,,
Kansas 1,Midwest,91.3,1,,,,,
Auburn 2,Midwest,89.5,2,,,,,
Wisconsin 3,Midwest,84.7,3,,,,,
Providence 4,Midwest,82.7,4,,,,,
Iowa 5,Midwest,89,5,,,,,
LSU 6,Midwest,85.7,6,,,,,
USC 7,Midwest,83,7,,,,,
SDSU 8,Midwest,83.5,8,,,,,
Creighton 9,Midwest,81.5,9,,,,,
Miami 10,Midwest,81.1,10,,,,,
Iowa State 11,Midwest,80.6,11,,,,,
Richmond 12,Midwest,79.9,12,,,,,
S. Dakota St. 13,Midwest,79.7,13,,,,,
Colgate 14,Midwest,76.4,14,,,,,
J'ville State 15,Midwest,73.2,15,,,,,
TXSO 16,Midwest,70.4,16,,,,,
